269Hs_初态_K,269Hs_初态_宇称,269Hs_初态_量子数,269Hs_初态_Ex(MeV),269Hs_末态_K,269Hs_末态_宇称,269Hs_末态_量子数,269Hs_末态_Ex(MeV),能级差_E(MeV)
0.5,-,750,2.384,1.5,+,622,0.0,2.384
0.5,-,750,2.384,0.5,+,620,0.041,2.343
0.5,-,750,2.384,3.5,+,613,0.085,2.299
0.5,-,750,2.384,5.5,-,725,0.118,2.266
0.5,-,750,2.384,0.5,+,631,0.171,2.213
0.5,-,750,2.384,6.5,-,716,0.385,1.999
1.5,-,761,1.825,1.5,+,622,0.0,1.825
1.5,-,761,1.825,0.5,+,620,0.041,1.784
2.5,-,752,1.751,1.5,+,622,0.0,1.751
0.5,-,501,1.751,1.5,+,622,0.0,1.751
1.5,-,761,1.825,3.5,+,613,0.085,1.74
2.5,-,743,1.739,1.5,+,622,0.0,1.739
2.5,-,752,1.751,0.5,+,620,0.041,1.71
0.5,-,501,1.751,0.5,+,620,0.041,1.71
1.5,-,761,1.825,5.5,-,725,0.118,1.707
1.5,-,741,1.702,1.5,+,622,0.0,1.702
2.5,-,743,1.739,0.5,+,620,0.041,1.698
0.5,-,501,1.751,3.5,+,613,0.085,1.666
2.5,-,752,1.751,3.5,+,613,0.085,1.666
1.5,-,741,1.702,0.5,+,620,0.041,1.661
2.5,-,743,1.739,3.5,+,613,0.085,1.654
1.5,-,761,1.825,0.5,+,631,0.171,1.654
0.5,-,741,1.642,1.5,+,622,0.0,1.642
0.5,+,611,1.637,1.5,+,622,0.0,1.637
2.5,-,752,1.751,5.5,-,725,0.118,1.633
0.5,-,501,1.751,5.5,-,725,0.118,1.633
2.5,-,743,1.739,5.5,-,725,0.118,1.621
3.5,-,743,1.619,1.5,+,622,0.0,1.619
1.5,-,741,1.702,3.5,+,613,0.085,1.617
0.5,-,741,1.642,0.5,+,620,0.041,1.601
0.5,+,611,1.637,0.5,+,620,0.041,1.596
1.5,-,741,1.702,5.5,-,725,0.118,1.584
0.5,-,501,1.751,0.5,+,631,0.171,1.58
2.5,-,752,1.751,0.5,+,631,0.171,1.58
3.5,-,743,1.619,0.5,+,620,0.041,1.578
2.5,-,743,1.739,0.5,+,631,0.171,1.568
0.5,-,741,1.642,3.5,+,613,0.085,1.557
0.5,+,611,1.637,3.5,+,613,0.085,1.552
3.5,-,743,1.619,3.5,+,613,0.085,1.534
1.5,-,741,1.702,0.5,+,631,0.171,1.531
0.5,-,741,1.642,5.5,-,725,0.118,1.524
0.5,+,611,1.637,5.5,-,725,0.118,1.519
3.5,-,743,1.619,5.5,-,725,0.118,1.501
0.5,-,741,1.642,0.5,+,631,0.171,1.471
0.5,+,611,1.637,0.5,+,631,0.171,1.466
3.5,-,743,1.619,0.5,+,631,0.171,1.448
1.5,-,761,1.825,6.5,-,716,0.385,1.44
0.5,-,750,2.384,4.5,+,604,0.983,1.401
0.5,-,750,2.384,2.5,+,613,0.987,1.397
0.5,-,750,2.384,4.5,-,734,0.997,1.387
0.5,-,750,2.384,4.5,+,615,1.011,1.373
0.5,-,501,1.751,6.5,-,716,0.385,1.366
2.5,-,752,1.751,6.5,-,716,0.385,1.366
2.5,-,743,1.739,6.5,-,716,0.385,1.354
1.5,-,741,1.702,6.5,-,716,0.385,1.317
0.5,-,741,1.642,6.5,-,716,0.385,1.257
0.5,+,611,1.637,6.5,-,716,0.385,1.252
3.5,-,743,1.619,6.5,-,716,0.385,1.234
0.5,-,750,2.384,1.5,+,611,1.163,1.221
0.5,-,750,2.384,5.5,+,606,1.181,1.203
5.5,+,606,1.181,1.5,+,622,0.0,1.181
1.5,+,611,1.163,1.5,+,622,0.0,1.163
5.5,+,606,1.181,0.5,+,620,0.041,1.14
1.5,+,611,1.163,0.5,+,620,0.041,1.122
5.5,+,606,1.181,3.5,+,613,0.085,1.096
1.5,+,611,1.163,3.5,+,613,0.085,1.078
5.5,+,606,1.181,5.5,-,725,0.118,1.063
1.5,+,611,1.163,5.5,-,725,0.118,1.045
4.5,+,615,1.011,1.5,+,622,0.0,1.011
5.5,+,606,1.181,0.5,+,631,0.171,1.01
4.5,-,734,0.997,1.5,+,622,0.0,0.997
1.5,+,611,1.163,0.5,+,631,0.171,0.992
2.5,+,613,0.987,1.5,+,622,0.0,0.987
4.5,+,604,0.983,1.5,+,622,0.0,0.983
4.5,+,615,1.011,0.5,+,620,0.041,0.97
4.5,-,734,0.997,0.5,+,620,0.041,0.956
2.5,+,613,0.987,0.5,+,620,0.041,0.946
4.5,+,604,0.983,0.5,+,620,0.041,0.942
4.5,+,615,1.011,3.5,+,613,0.085,0.926
4.5,-,734,0.997,3.5,+,613,0.085,0.912
2.5,+,613,0.987,3.5,+,613,0.085,0.902
4.5,+,604,0.983,3.5,+,613,0.085,0.898
4.5,+,615,1.011,5.5,-,725,0.118,0.893
4.5,-,734,0.997,5.5,-,725,0.118,0.879
2.5,+,613,0.987,5.5,-,725,0.118,0.869
4.5,+,604,0.983,5.5,-,725,0.118,0.865
1.5,-,761,1.825,4.5,+,604,0.983,0.842
4.5,+,615,1.011,0.5,+,631,0.171,0.84
1.5,-,761,1.825,2.5,+,613,0.987,0.838
1.5,-,761,1.825,4.5,-,734,0.997,0.828
4.5,-,734,0.997,0.5,+,631,0.171,0.826
2.5,+,613,0.987,0.5,+,631,0.171,0.816
1.5,-,761,1.825,4.5,+,615,1.011,0.814
4.5,+,604,0.983,0.5,+,631,0.171,0.812
5.5,+,606,1.181,6.5,-,716,0.385,0.796
1.5,+,611,1.163,6.5,-,716,0.385,0.778
0.5,-,501,1.751,4.5,+,604,0.983,0.768
2.5,-,752,1.751,4.5,+,604,0.983,0.768
0.5,-,750,2.384,3.5,-,743,1.619,0.765
2.5,-,752,1.751,2.5,+,613,0.987,0.764
0.5,-,501,1.751,2.5,+,613,0.987,0.764
2.5,-,743,1.739,4.5,+,604,0.983,0.756
0.5,-,501,1.751,4.5,-,734,0.997,0.754
2.5,-,752,1.751,4.5,-,734,0.997,0.754
2.5,-,743,1.739,2.5,+,613,0.987,0.752
0.5,-,750,2.384,0.5,+,611,1.637,0.747
0.5,-,750,2.384,0.5,-,741,1.642,0.742
2.5,-,743,1.739,4.5,-,734,0.997,0.742
2.5,-,752,1.751,4.5,+,615,1.011,0.74
0.5,-,501,1.751,4.5,+,615,1.011,0.74
2.5,-,743,1.739,4.5,+,615,1.011,0.728
1.5,-,741,1.702,4.5,+,604,0.983,0.719
1.5,-,741,1.702,2.5,+,613,0.987,0.715
1.5,-,741,1.702,4.5,-,734,0.997,0.705
1.5,-,741,1.702,4.5,+,615,1.011,0.691
0.5,-,750,2.384,1.5,-,741,1.702,0.682
1.5,-,761,1.825,1.5,+,611,1.163,0.662
0.5,-,741,1.642,4.5,+,604,0.983,0.659
0.5,-,741,1.642,2.5,+,613,0.987,0.655
0.5,+,611,1.637,4.5,+,604,0.983,0.654
0.5,+,611,1.637,2.5,+,613,0.987,0.65
0.5,-,741,1.642,4.5,-,734,0.997,0.645
0.5,-,750,2.384,2.5,-,743,1.739,0.645
1.5,-,761,1.825,5.5,+,606,1.181,0.644
0.5,+,611,1.637,4.5,-,734,0.997,0.64
3.5,-,743,1.619,4.5,+,604,0.983,0.636
0.5,-,750,2.384,2.5,-,752,1.751,0.633
0.5,-,750,2.384,0.5,-,501,1.751,0.633
3.5,-,743,1.619,2.5,+,613,0.987,0.632
0.5,-,741,1.642,4.5,+,615,1.011,0.631
4.5,+,615,1.011,6.5,-,716,0.385,0.626
0.5,+,611,1.637,4.5,+,615,1.011,0.626
3.5,-,743,1.619,4.5,-,734,0.997,0.622
4.5,-,734,0.997,6.5,-,716,0.385,0.612
3.5,-,743,1.619,4.5,+,615,1.011,0.608
2.5,+,613,0.987,6.5,-,716,0.385,0.602
4.5,+,604,0.983,6.5,-,716,0.385,0.598
0.5,-,501,1.751,1.5,+,611,1.163,0.588
2.5,-,752,1.751,1.5,+,611,1.163,0.588
2.5,-,743,1.739,1.5,+,611,1.163,0.576
2.5,-,752,1.751,5.5,+,606,1.181,0.57
0.5,-,501,1.751,5.5,+,606,1.181,0.57
0.5,-,750,2.384,1.5,-,761,1.825,0.559
2.5,-,743,1.739,5.5,+,606,1.181,0.558
1.5,-,741,1.702,1.5,+,611,1.163,0.539
1.5,-,741,1.702,5.5,+,606,1.181,0.521
0.5,-,741,1.642,1.5,+,611,1.163,0.479
0.5,+,611,1.637,1.5,+,611,1.163,0.474
0.5,-,741,1.642,5.5,+,606,1.181,0.461
0.5,+,611,1.637,5.5,+,606,1.181,0.456
3.5,-,743,1.619,1.5,+,611,1.163,0.456
3.5,-,743,1.619,5.5,+,606,1.181,0.438
6.5,-,716,0.385,1.5,+,622,0.0,0.385
6.5,-,716,0.385,0.5,+,620,0.041,0.344
6.5,-,716,0.385,3.5,+,613,0.085,0.3
6.5,-,716,0.385,5.5,-,725,0.118,0.267
6.5,-,716,0.385,0.5,+,631,0.171,0.214
1.5,-,761,1.825,3.5,-,743,1.619,0.206
5.5,+,606,1.181,4.5,+,604,0.983,0.198
5.5,+,606,1.181,2.5,+,613,0.987,0.194
1.5,-,761,1.825,0.5,+,611,1.637,0.188
5.5,+,606,1.181,4.5,-,734,0.997,0.184
1.5,-,761,1.825,0.5,-,741,1.642,0.183
1.5,+,611,1.163,4.5,+,604,0.983,0.18
1.5,+,611,1.163,2.5,+,613,0.987,0.176
0.5,+,631,0.171,1.5,+,622,0.0,0.171
5.5,+,606,1.181,4.5,+,615,1.011,0.17
1.5,+,611,1.163,4.5,-,734,0.997,0.166
1.5,+,611,1.163,4.5,+,615,1.011,0.152
2.5,-,752,1.751,3.5,-,743,1.619,0.132
0.5,-,501,1.751,3.5,-,743,1.619,0.132
0.5,+,631,0.171,0.5,+,620,0.041,0.13
1.5,-,761,1.825,1.5,-,741,1.702,0.123
